ADSID,IBRA_REGION,LONGITUDE,LATITUDE,SITE,SITE_TYPE,LAB_CODE,AGE,ERROR,C13_AGE,C13_ERROR,MATERIAL,MATERIAL_TOP_LEVEL,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,
10016,Murray Darling Depression,143.06,-35.26,Chillingollah 3,Burial,SUA-1695C,1100,80,,,Bone (re-precipitated alkali soluble fraction),Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Macphail, 1982; Godfrey et al. 1996",A sample taken from a burial in the Mallee and used to explore variations in bone materials for radiocarbon dating. This sample was considered more reliable than SUA-1695A.,c14,,1100,Information within this entry has been inferred by authors - see Notes,
10017,Murray Darling Depression,143.06,-35.26,Chillingollah 3,Burial,SUA-1695B,1380,70,,,Bone (residue),Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Macphail, 1982; Godfrey et al. 1996",A sample taken from a burial in the Mallee and used to explore variations in bone materials for radiocarbon dating. This sample was considered more reliable than SUA-1695A.,c14,,1380,Information within this entry has been inferred by authors - see Notes,
10018,Murray Darling Depression,143.06,-35.26,Chillingollah 3,Burial,SUA-1695A,1740,90,,,Bone apatite/carbonate,Bone,,,Radiocarbon,,Unusuable,Open,Y,"Macphail, 1982; Godfrey et al. 1996",A sample taken from a burial in the Mallee and used to explore variations in bone materials for radiocarbon dating. This sample was considered more unreliable than SUA-1695B and C.,c14,Date is considered erroneous - see Notes,1740,Information within this entry has been inferred by authors - see Notes,
10019,Murray Darling Depression,141.8,-34.1,David's Dune Murray River,Burial,ANU 8647,7140,200,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Pardoe 1995,,c14,,7140,Information within this entry has been inferred by authors - see Notes,
10020,Murray Darling Depression,142.75,-34.58,Euston,Burial,ANU-5311,1590,260,,,Calcium carbonate,Other,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,1590,Information within this entry has been inferred by authors - see Notes,
10021,Murray Darling Depression,142.75,-34.58,Euston,Burial,ANU-5309,3390,190,,,Calcium carbonate,Other,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,3390,Information within this entry has been inferred by authors - see Notes,
10022,Murray Darling Depression,142.05,-34.17,Horseshoe Bend,Burial,SUA-2102,1860,90,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,"A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample was taken from charcoal found in association with a burial near Merbein, Victoria.",c14,,1860,Information within this entry has been inferred by authors - see Notes,
10023,Murray Darling Depression,144,-35.1,Jeraly Edward River,Burial,ANU 8974B,4580,170,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Pardoe 1995,,c14,,4580,Information within this entry has been inferred by authors - see Notes,
10024,Murray Darling Depression,144,-35.1,Jeraly Edward River,Burial,ANU 8974A,5010,180,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Pardoe 1995,,c14,,5010,Information within this entry has been inferred by authors - see Notes,
10025,Murray Darling Depression,140.56,-34.42,Katarapko Island,Burial,ANU-6899,350,200,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,350,,
10026,Murray Darling Depression,140.6,-34.4,Katarapko Island,Burial,ANU 6899,350,200,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Dowling 1990,,c14,,350,Information within this entry has been inferred by authors - see Notes,
10027,Murray Darling Depression,140.56,-34.42,Katarapko Island,Burial,ANU-6901,590,220,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,590,,
10028,Murray Darling Depression,140.6,-34.4,Katarapko Island,Burial,ANU 6898,590,220,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Dowling 1990,,c14,,590,Information within this entry has been inferred by authors - see Notes,
10029,Murray Darling Depression,140.56,-34.42,Katarapko Island,Burial,ANU-6894,1070,200,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,1070,,
10030,Murray Darling Depression,140.6,-34.4,Katarapko Island,Burial,ANU 6894,1070,200,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Dowling 1990,,c14,,1070,Information within this entry has been inferred by authors - see Notes,
10031,Murray Darling Depression,140.56,-34.42,Katarapko Island,Burial,ANU-6895,1560,200,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,1560,,
10032,Murray Darling Depression,140.6,-34.4,Katarapko Island,Burial,ANU 6895,1560,200,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Dowling 1990,,c14,,1560,Information within this entry has been inferred by authors - see Notes,
10033,Murray Darling Depression,140.56,-34.42,Katarapko Island,Burial,ANU-6896,4700,140,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,4700,,
10034,Murray Darling Depression,140.6,-34.4,Katarapko Island,Burial,ANU 6896,4700,140,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Dowling 1990,,c14,,4700,Information within this entry has been inferred by authors - see Notes,
10035,Murray Darling Depression,141.8,-34.1,Keera Murray River,Burial,ANU 420D,3580,370,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Blackwood and Simpson 1973,,c14,,3580,Information within this entry has been inferred by authors - see Notes,
10036,Murray Darling Depression,141.8,-34.1,Keera Murray River,Burial,Gak-1409,5840,90,,,Charcoal from grave,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,Blackwood and Simpson 1973,,c14,,5840,,
10037,Murray Darling Depression,141,-34,Keera Station #10,Burial,Not given,4170,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,4170,Information within this entry has been inferred by authors - see Notes,
10038,Murray Darling Depression,141,-34,Keera Station #11,Burial,Not given,4400,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,4400,Information within this entry has been inferred by authors - see Notes,
10039,Murray Darling Depression,141,-34,Keera Station #2,Burial,Not given,5900,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,5900,Information within this entry has been inferred by authors - see Notes,
10040,Murray Darling Depression,141,-34,Keera Station #28,Burial,Not given,5350,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,5350,Information within this entry has been inferred by authors - see Notes,
10041,Murray Darling Depression,141,-34,Keera Station #29,Burial,Not given,5840,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,5840,Information within this entry has been inferred by authors - see Notes,
10042,Murray Darling Depression,141,-34,Keera Station #69,Burial,Not given,750,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,750,Information within this entry has been inferred by authors - see Notes,
10043,Murray Darling Depression,143.1,-33.5,Lake Garnpung (GG-16),Burial,NZA 165,11690,580,,,Human bone insolubles,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,11690,,
10044,Murray Darling Depression,143.1,-33.5,Lake Garnpung (GL-13),Burial,NZA 194,11100,370,,,Human bone insolubles,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,11100,,
10045,Murray Darling Depression,143.1,-33.5,Lake Garnpung (GL-13),Burial,NZA 163,11910,335,,,Human bone insolubles,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,11910,,
10046,Murray Darling Depression,143.1,-33.5,Lake Garnpung (GL-24),Burial,NZA 159,18635,532,,,Human bone insolubles,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,18635,,
10047,Murray Darling Depression,143.1,-33.5,Lake Garnpung (WL 122),Burial,NZA-164,16535,535,,,Humic acid extraction,Other,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,16535,,
10048,Murray Darling Depression,143.1,-33.8,Lake Mungo (WOC-1),Burial,NZA 160,15780,430,,,Human bone insolubles,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,15780,,
10049,Murray Darling Depression,143.1,-33.8,Lake Mungo (WOC-1),Burial,NZA 231,16940,635,,,Human bone insolubles,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,16940,,
10050,Murray Darling Depression,143.1,-33.8,Lake Mungo (WOC-1),Burial,ANU 618A,19030,+1410/-1200,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Bowler et al. 1972, Johnston & Clark 1998",,c14,,19030,,
10051,Murray Darling Depression,143.1,-33.8,Lake Mungo (WOC-1),Burial,ANU 618B,24710,+1270/-1100,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Bowler et al. 1972, Johnston & Clark 1998",,c14,,24710,,
10052,Murray Darling Depression,143.1,-33.8,Lake Mungo (WOC-1),Burial,NZA 246,24745,2400,,,Human bone humic acid,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,24745,,
10053,Murray Darling Depression,143.1,-33.8,Lake Mungo (WOC-1),Burial,NZA 230,25120,1380,,,Human bone humic acid,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Webb 1989, Johnston & Clark 1998",,c14,,25120,,
10054,Murray Darling Depression,141.8,-33.4,Lake Nitchie,Burial,NZ 1226,3290,85,,,Human bone carbonate,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Macintosh 1971,,c14,,3290,Information within this entry has been inferred by authors - see Notes,
10055,Murray Darling Depression,141.84,-33.46,Lake Nitchie skeleton,Burial,NZ-1225,6820,200,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe & Webb, 1986, Pardoe, 1993","Referenced in both these papers as a comparitive tool, no further information provided",c14,,6820,,
10056,Murray Darling Depression,142.5,-32.4,Lake Tandou,Burial,ANU 705,12530,"+1630/-1,350",,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Balme and Hope 1990,,c14,,12530,Information within this entry has been inferred by authors - see Notes,
10057,Murray Darling Depression,141.2,-35.2,Lake Victoria,Burial,ANU-421,750,170,-22,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Blackwood and Simpson 1973; Polach et al. 1978,Aboriginal midden and charcoal located on top of Nulla Nulla Sand formation east of Lake Victoria. Dates one of 16 skeletons found in this proximity.,c14,,750,,
10058,Murray Darling Depression,141.15,-34.1,Lindsay Island,Burial,ANU-7500,4110,120,,,Freshwater shell,Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,4110,,
10059,Murray Darling Depression,141.03,-35.08,Lindsay River,Burial,ANU-420B,2130,85,-7,,Human bone carbonate,Bone,,,Radiocarbon,,Unusuable,Open,Y,"Polach et al., 1978",Samples taken from lowest four skeletons of 16 identified in a tight mass grave. One of four samples looking at various bone components for dating. Considered erroneous by the author.,c14,Date is considered erroneous - see Notes,2130,,
10060,Murray Darling Depression,141.03,-35.08,Lindsay River,Burial,ANU-420C,4550,185,-14,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Polach et al., 1978",Samples taken from lowest four skeletons of 16 identified in a tight mass grave. One of four samples looking at various bone components for dating.,c14,,4550,,
10061,Murray Darling Depression,141.03,-35.08,Lindsay River,Burial,ANU-420D,>3580,370,-24,,Human bone collagen,Bone,,,Radiocarbon,,Unusuable,Open,Y,"Polach et al., 1978",Samples taken from lowest four skeletons of 16 identified in a tight mass grave. One of four samples looking at various bone components for dating.,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,,
10062,Murray Darling Depression,141.03,-35.08,Lindsay River,Burial,ANU-420A,Modern,,-26,,Human bone (water soluble fraction),Bone,,,Radiocarbon,,Unusuable,Open,Y,"Polach et al., 1978",Samples taken from lowest four skeletons of 16 identified in a tight mass grave. One of four samples looking at various bone components for dating. Considered erroneous by the author.,c14,Date is considered erroneous - see Notes,,,
10063,Murray Darling Depression,147.7,-34.1,Lyrra Paddock (Site 16A),Burial,Gak-1430,5900,550,,,Bone (collagen not removed),Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Blackwood & Simpson, 1973 cit. Godfrey et al., 1996.","A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample came from 'skeleton 55'. Little contextual information is provided, but it appears multiple analysis of the same burial materials was undertaken.",c14,,5900,Information within this entry has been inferred by authors - see Notes,
10064,Murray Darling Depression,147.7,-34.1,Lyrra Paddock (Site 16B),Burial,Gak-1432,4170,300,,,Bone (collagen not removed),Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Blackwood & Simpson, 1973 cit. Godfrey et al., 1996.","A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample came from 'skeleton 55'. Little contextual information is provided, but it appears multiple analysis of the same burial materials was undertaken. This sample was measured by diluting dead carbon.",c14,,4170,Information within this entry has been inferred by authors - see Notes,
10065,Murray Darling Depression,147.7,-34.1,Lyrra Paddock (Site 16B),Burial,Gak-1433,4400,220,,,Bone (collagen not removed),Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Blackwood & Simpson, 1973 cit. Godfrey et al., 1996.","A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample came from 'skeleton 55'. Little contextual information is provided, but it appears multiple analysis of the same burial materials was undertaken. This sample was measured by diluting dead carbon.",c14,,4400,Information within this entry has been inferred by authors - see Notes,
10066,Murray Darling Depression,147.7,-34.1,Lyrra Paddock (Site 16B),Burial,Gak-1431,5350,290,,,Bone (collagen not removed),Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Blackwood & Simpson, 1973 cit. Godfrey et al., 1996.","A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample came from 'skeleton 55'. Little contextual information is provided, but it appears multiple analysis of the same burial materials was undertaken. This sample was measured under 'low pressure'.",c14,,5350,Information within this entry has been inferred by authors - see Notes,
10067,Murray Darling Depression,142.25,-34.25,Mallee Cliffs,Burial,ANU-5787b,2430,260,,,Human bone collagen,Bone,,,Radiocarbon,,Unusuable,Open,,"Pardoe, 1988, 1993",Three disturbed burials eroding from the cliff banks of the Murray River. This sample relates to the lowest and least disturbed of the burials. This date from the collagen was considered anomalously young.,c14,Date is considered erroneous - see Notes,2430,,
10068,Murray Darling Depression,142.25,-34.25,Mallee Cliffs (MC1),Burial,ANU-5787a,6610,190,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1988, 1993",Three disturbed burials eroding from the cliff banks of the Murray River. This sample relates to the lowest and least disturbed of the burials.,c14,,6610,,
10069,Murray Darling Depression,141.7,-34.1,Maynards Dune Murray River,Burial,ANU 8651B,940,350,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Pardoe 1995,,c14,,940,Information within this entry has been inferred by authors - see Notes,
10070,Murray Darling Depression,141.7,-34.1,Maynards Dune Murray River,Burial,ANU 8651A,1760,300,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Pardoe 1995,,c14,,1760,Information within this entry has been inferred by authors - see Notes,
10071,Murray Darling Depression,142.41,-32.4,Menindee,Burial,ANU-7504,2150,170,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,2150,Information within this entry has been inferred by authors - see Notes,
10072,Murray Darling Depression,144.3,-33.38,Mossigel burial,Burial,Not given,6010,125,,,Bone carbonate,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Freedman, 1985; Pardoe & Webb, 1986, Pardoe, 1993",Skeleton published by Macintosh. Burial in flexed position eroding from a clay pan and found in association with hearths and other artefacts. The skeleton was largely intact and reflected an adult male.  This date reflects a minimum age of the skeleton.,c14,,6010,Information within this entry has been inferred by authors - see Notes,
10073,Murray Darling Depression,139.3,-35.15,Swanport Aboriginal burial ground,Burial,OZF-395,420,40,-14.47,0.39,Human bone collagen,Bone,SA Museum # A25331,,Radiocarbon,,Terrestrial,Open,Y,"Pate et al., 2003","An open site near Swanport (on the mouth of the Murray River) that contained some 136 human burials. Originally, thought to be 19th century in age, AMS dates suggest an ongoing use of the site between 2.5ka and 0.5 ka. The burials were more gracile and had smaller teeth than nearby Roonka and was considered to represent a different population from the coast to the south, rather than the inland Murray Darling Basin. Samples were taken from five individual femurs and a crania (sample #A54).",c14,,420,Information within this entry has been inferred by authors - see Notes,
10074,Murray Darling Depression,139.3,-35.15,Swanport Aboriginal burial ground,Burial,OZF-396,820,40,-14.88,0.39,Human bone collagen,Bone,SA Museum # A24580,,Radiocarbon,,Terrestrial,Open,Y,"Pate et al., 2003","An open site near Swanport (on the mouth of the Murray River) that contained some 136 human burials. Originally, thought to be 19th century in age, AMS dates suggest an ongoing use of the site between 2.5ka and 0.5 ka. The burials were more gracile and had smaller teeth than nearby Roonka and was considered to represent a different population from the coast to the south, rather than the inland Murray Darling Basin. Samples were taken from five individual femurs and a crania (sample #A54).",c14,,820,Information within this entry has been inferred by authors - see Notes,
10075,Murray Darling Depression,139.3,-35.15,Swanport Aboriginal burial ground,Burial,OZF-394,1230,40,-19.94,0.33,Human bone collagen,Bone,SA Museum # A25115a,,Radiocarbon,,Terrestrial,Open,Y,"Pate et al., 2003","An open site near Swanport (on the mouth of the Murray River) that contained some 136 human burials. Originally, thought to be 19th century in age, AMS dates suggest an ongoing use of the site between 2.5ka and 0.5 ka. The burials were more gracile and had smaller teeth than nearby Roonka and was considered to represent a different population from the coast to the south, rather than the inland Murray Darling Basin. Samples were taken from five individual femurs and a crania (sample #A54).",c14,,1230,Information within this entry has been inferred by authors - see Notes,
10076,Murray Darling Depression,139.3,-35.15,Swanport Aboriginal burial ground,Burial,OZF-391,1900,70,-21.55,0.68,Human bone collagen,Bone,SA Museum # A54,,Radiocarbon,,Terrestrial,Open,Y,"Pate et al., 2003","An open site near Swanport (on the mouth of the Murray River) that contained some 136 human burials. Originally, thought to be 19th century in age, AMS dates suggest an ongoing use of the site between 2.5ka and 0.5 ka. The burials were more gracile and had smaller teeth than nearby Roonka and was considered to represent a different population from the coast to the south, rather than the inland Murray Darling Basin. Samples were taken from five individual femurs and a crania (sample #A54).",c14,,1900,Information within this entry has been inferred by authors - see Notes,
10077,Murray Darling Depression,139.3,-35.15,Swanport Aboriginal burial ground,Burial,OZF-392,2300,50,-20.75,0.48,Human bone collagen,Bone,SA Museum # A125,,Radiocarbon,,Terrestrial,Open,Y,"Pate et al., 2003","An open site near Swanport (on the mouth of the Murray River) that contained some 136 human burials. Originally, thought to be 19th century in age, AMS dates suggest an ongoing use of the site between 2.5ka and 0.5 ka. The burials were more gracile and had smaller teeth than nearby Roonka and was considered to represent a different population from the coast to the south, rather than the inland Murray Darling Basin. Samples were taken from five individual femurs and a crania (sample #A54).",c14,,2300,Information within this entry has been inferred by authors - see Notes,
10078,Murray Darling Depression,139.3,-35.15,Swanport Aboriginal burial ground,Burial,OZF-393,2790,40,-18.78,0.29,Human bone collagen,Bone,SA Museum # A25221,,Radiocarbon,,Terrestrial,Open,Y,"Pate et al., 2003","An open site near Swanport (on the mouth of the Murray River) that contained some 136 human burials. Originally, thought to be 19th century in age, AMS dates suggest an ongoing use of the site between 2.5ka and 0.5 ka. The burials were more gracile and had smaller teeth than nearby Roonka and was considered to represent a different population from the coast to the south, rather than the inland Murray Darling Basin. Samples were taken from five individual femurs and a crania (sample #A54).",c14,,2790,Information within this entry has been inferred by authors - see Notes,
10079,Murray Darling Depression,141.73,-34.13,Wallpolla 1,Burial,ANU-8647,7140,200,,,Bone (apatite fraction),Bone,Burial 20,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe 1995 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a burial on Wallpolla creek. No further contextual information provided.,c14,,7140,Information within this entry has been inferred by authors - see Notes,
